"state","allocation_week","first_dose","second_dose","running_total"
"AL",2021-04-05,66690,66690,66690
"AL",2021-03-29,80730,80730,147420
"AL",2021-03-22,66690,66690,214110
"AL",2021-03-15,65520,65520,279630
"AL",2021-03-08,60840,60840,340470
"AL",2021-03-01,54990,54990,395460
"AL",2021-02-22,47970,47970,443430
"AL",2021-02-15,30225,30225,473655
"AL",2021-02-08,30225,30225,503880
"AL",2021-02-01,30225,30225,534105
"AL",2021-01-25,30225,30225,564330
"AL",2021-01-18,30225,30225,594555
"AL",2021-01-11,29250,29250,623805
"AL",2021-01-04,29250,29250,653055
"AL",2020-12-28,38025,38025,691080
"AL",2020-12-21,29250,29250,720330
"AL",2020-12-14,40950,40950,761280
"AK",2021-04-05,0,0,0
"AK",2021-03-29,91260,79560,79560
"AK",2021-03-22,0,0,79560
"AK",2021-03-15,0,0,79560
"AK",2021-03-08,0,0,79560
"AK",2021-03-01,53820,53820,133380
"AK",2021-02-22,0,0,133380
"AK",2021-02-15,0,0,133380
"AK",2021-02-08,0,0,133380
"AK",2021-02-01,27300,27300,160680
"AK",2021-01-25,0,0,160680
"AK",2021-01-18,0,0,160680
"AK",2021-01-11,0,0,160680
"AK",2021-01-04,27300,27300,187980
"AK",2020-12-28,0,0,187980
"AK",2020-12-21,0,0,187980
"AK",2020-12-14,35100,35100,223080
"AZ",2021-04-05,93600,93600,93600
"AZ",2021-03-29,114660,114660,208260
"AZ",2021-03-22,93600,93600,301860
"AZ",2021-03-15,92430,92430,394290
"AZ",2021-03-08,85410,85410,479700
"AZ",2021-03-01,78390,78390,558090
"AZ",2021-02-22,69030,69030,627120
"AZ",2021-02-15,42900,42900,670020
"AZ",2021-02-08,42900,42900,712920
"AZ",2021-02-01,42900,42900,755820
"AZ",2021-01-25,42900,42900,798720
"AZ",2021-01-18,42900,42900,841620
"AZ",2021-01-11,41925,41925,883545
"AZ",2021-01-04,41925,41925,925470
"AZ",2020-12-28,53625,53625,979095
"AZ",2020-12-21,41925,41925,1021020
"AZ",2020-12-14,58500,58500,1079520
"AR",2021-04-05,39780,39780,39780
"AR",2021-03-29,49140,49140,88920
"AR",2021-03-22,39780,39780,128700
"AR",2021-03-15,39780,39780,168480
"AR",2021-03-08,37440,37440,205920
"AR",2021-03-01,33930,33930,239850
"AR",2021-02-22,29250,29250,269100
"AR",2021-02-15,18525,18525,287625
"AR",2021-02-08,18525,18525,306150
"AR",2021-02-01,18525,18525,324675
"AR",2021-01-25,18525,18525,343200
"AR",2021-01-18,18525,18525,361725
"AR",2021-01-11,18525,18525,380250
"AR",2021-01-04,18525,18525,398775
"AR",2020-12-28,23400,23400,422175
"AR",2020-12-21,18525,18525,440700
"AR",2020-12-14,25350,25350,466050
"CA",2021-04-05,524160,524160,524160
"CA",2021-03-29,644670,644670,1168830
"CA",2021-03-22,524160,524160,1692990
"CA",2021-03-15,515970,515970,2208960
"CA",2021-03-08,479700,479700,2688660
"CA",2021-03-01,438750,438750,3127410
"CA",2021-02-22,382590,382590,3510000
"CA",2021-02-15,241800,241800,3751800
"CA",2021-02-08,241800,241800,3993600
"CA",2021-02-01,240825,240825,4234425
"CA",2021-01-25,241800,241800,4476225
"CA",2021-01-18,241800,241800,4718025
"CA",2021-01-11,233025,233025,4951050
"CA",2021-01-04,232050,232050,5183100
"CA",2020-12-28,297375,297375,5480475
"CA",2020-12-21,233025,233025,5713500
"CA",2020-12-14,327600,327600,6041100
"CO",2021-04-05,74880,74880,74880
"CO",2021-03-29,92430,92430,167310
"CO",2021-03-22,74880,74880,242190
"CO",2021-03-15,73710,73710,315900
"CO",2021-03-08,69030,69030,384930
"CO",2021-03-01,63180,63180,448110
"CO",2021-02-22,54990,54990,503100
"CO",2021-02-15,35100,35100,538200
"CO",2021-02-08,35100,35100,573300
"CO",2021-02-01,34125,34125,607425
"CO",2021-01-25,35100,35100,642525
"CO",2021-01-18,35100,35100,677625
"CO",2021-01-11,33150,33150,710775
"CO",2021-01-04,33150,33150,743925
"CO",2020-12-28,42900,42900,786825
"CO",2020-12-21,33150,33150,819975
"CO",2020-12-14,46800,46800,866775
"CT",2021-04-05,50310,50310,50310
"CT",2021-03-29,60840,60840,111150
"CT",2021-03-22,50310,50310,161460
"CT",2021-03-15,49140,49140,210600
"CT",2021-03-08,45630,45630,256230
"CT",2021-03-01,42120,42120,298350
"CT",2021-02-22,36270,36270,334620
"CT",2021-02-15,23400,23400,358020
"CT",2021-02-08,23400,23400,381420
"CT",2021-02-01,23400,23400,404820
"CT",2021-01-25,23400,23400,428220
"CT",2021-01-18,23400,23400,451620
"CT",2021-01-11,22425,22425,474045
"CT",2021-01-04,22425,22425,496470
"CT",2020-12-28,28275,28275,524745
"CT",2020-12-21,22425,22425,547170
"CT",2020-12-14,31200,31200,578370
"DE",2021-04-05,14040,14040,14040
"DE",2021-03-29,16380,16380,30420
"DE",2021-03-22,14040,14040,44460
"DE",2021-03-15,12870,12870,57330
"DE",2021-03-08,12870,12870,70200
"DE",2021-03-01,11700,11700,81900
"DE",2021-02-22,10530,10530,92430
"DE",2021-02-15,6825,6825,99255
"DE",2021-02-08,6825,6825,106080
"DE",2021-02-01,6825,6825,112905
"DE",2021-01-25,6825,6825,119730
"DE",2021-01-18,6825,6825,126555
"DE",2021-01-11,5850,5850,132405
"DE",2021-01-04,5850,5850,138255
"DE",2020-12-28,7800,7800,146055
"DE",2020-12-21,5850,5850,151905
"DE",2020-12-14,8775,8775,160680
"DC",2021-04-05,10530,10530,10530
"DC",2021-03-29,12870,12870,23400
"DC",2021-03-22,10530,10530,33930
"DC",2021-03-15,10530,10530,44460
"DC",2021-03-08,9360,9360,53820
"DC",2021-03-01,9360,9360,63180
"DC",2021-02-22,8190,8190,71370
"DC",2021-02-15,4875,4875,76245
"DC",2021-02-08,4875,4875,81120
"DC",2021-02-01,4875,4875,85995
"DC",2021-01-25,4875,4875,90870
"DC",2021-01-18,4875,4875,95745
"DC",2021-01-11,4875,4875,100620
"DC",2021-01-04,4875,4875,105495
"DC",2020-12-28,5850,5850,111345
"DC",2020-12-21,4875,4875,116220
"DC",2020-12-14,6825,6825,123045
"FL",2021-04-05,286650,286650,286650
"FL",2021-03-29,352170,352170,638820
"FL",2021-03-22,286650,286650,925470
"FL",2021-03-15,281970,281970,1207440
"FL",2021-03-08,262080,262080,1469520
"FL",2021-03-01,239850,239850,1709370
"FL",2021-02-22,209430,209430,1918800
"FL",2021-02-15,132600,132600,2051400
"FL",2021-02-08,132600,132600,2184000
"FL",2021-02-01,131625,131625,2315625
"FL",2021-01-25,132600,132600,2448225
"FL",2021-01-18,132600,132600,2580825
"FL",2021-01-11,127725,127725,2708550
"FL",2021-01-04,126750,126750,2835300
"FL",2020-12-28,162825,162825,2998125
"FL",2020-12-21,127725,127725,3125850
"FL",2020-12-14,179400,179400,3305250
"GA",2021-04-05,136890,136890,136890
"GA",2021-03-29,167310,167310,304200
"GA",2021-03-22,136890,136890,441090
"GA",2021-03-15,134550,134550,575640
"GA",2021-03-08,125190,125190,700830
"GA",2021-03-01,114660,114660,815490
"GA",2021-02-22,99450,99450,914940
"GA",2021-02-15,63375,63375,978315
"GA",2021-02-08,63375,63375,1041690
"GA",2021-02-01,62400,62400,1104090
"GA",2021-01-25,63375,63375,1167465
"GA",2021-01-18,63375,63375,1230840
"GA",2021-01-11,60450,60450,1291290
"GA",2021-01-04,60450,60450,1351740
"GA",2020-12-28,77025,77025,1428765
"GA",2020-12-21,60450,60450,1489215
"GA",2020-12-14,84825,84825,1574040
"HI",2021-04-05,19890,19890,19890
"HI",2021-03-29,24570,24570,44460
"HI",2021-03-22,19890,19890,64350
"HI",2021-03-15,19890,19890,84240
"HI",2021-03-08,18720,18720,102960
"HI",2021-03-01,16380,16380,119340
"HI",2021-02-22,15210,15210,134550
"HI",2021-02-15,9750,9750,144300
"HI",2021-02-08,9750,9750,154050
"HI",2021-02-01,9750,9750,163800
"HI",2021-01-25,9750,9750,173550
"HI",2021-01-18,9750,9750,183300
"HI",2021-01-11,8775,8775,192075
"HI",2021-01-04,8775,8775,200850
"HI",2020-12-28,11700,11700,212550
"HI",2020-12-21,8775,8775,221325
"HI",2020-12-14,12675,12675,234000
"ID",2021-04-05,22230,22230,22230
"ID",2021-03-29,26910,26910,49140
"ID",2021-03-22,22230,22230,71370
"ID",2021-03-15,22230,22230,93600
"ID",2021-03-08,19890,19890,113490
"ID",2021-03-01,18720,18720,132210
"ID",2021-02-22,16380,16380,148590
"ID",2021-02-15,10725,10725,159315
"ID",2021-02-08,10725,10725,170040
"ID",2021-02-01,10725,10725,180765
"ID",2021-01-25,10725,10725,191490
"ID",2021-01-18,10725,10725,202215
"ID",2021-01-11,9750,9750,211965
"ID",2021-01-04,9750,9750,221715
"ID",2020-12-28,12675,12675,234390
"ID",2020-12-21,9750,9750,244140
"ID",2020-12-14,13650,13650,257790
"IL",2021-04-05,136890,136890,136890
"IL",2021-03-29,136890,136890,273780
"IL",2021-03-22,136890,136890,410670
"IL",2021-03-15,136890,136890,547560
"IL",2021-03-08,136890,136890,684450
"IL",2021-03-01,136890,136890,821340
"IL",2021-02-22,136890,136890,958230
"IL",2021-02-15,136890,136890,1095120
"IL",2021-02-08,136890,136890,1232010
"IL",2021-02-01,136890,136890,1368900
"IL",2021-01-25,136890,136890,1505790
"IL",2021-01-18,136890,136890,1642680
"IL",2021-01-11,136890,136890,1779570
"IL",2021-01-04,136890,136890,1916460
"IL",2020-12-28,136890,136890,2053350
"IL",2020-12-21,136890,136890,2190240
"IL",2020-12-14,136890,136890,2327130
"IN",2021-04-05,88920,88920,88920
"IN",2021-03-29,108810,108810,197730
"IN",2021-03-22,88920,88920,286650
"IN",2021-03-15,87750,87750,374400
"IN",2021-03-08,80730,80730,455130
"IN",2021-03-01,74880,74880,530010
"IN",2021-02-22,64350,64350,594360
"IN",2021-02-15,40950,40950,635310
"IN",2021-02-08,40950,40950,676260
"IN",2021-02-01,40950,40950,717210
"IN",2021-01-25,40950,40950,758160
"IN",2021-01-18,40950,40950,799110
"IN",2021-01-11,39975,39975,839085
"IN",2021-01-04,39000,39000,878085
"IN",2020-12-28,50700,50700,928785
"IN",2020-12-21,39975,39975,968760
"IN",2020-12-14,55575,55575,1024335
"IA",2021-04-05,42120,42120,42120
"IA",2021-03-29,51480,51480,93600
"IA",2021-03-22,42120,42120,135720
"IA",2021-03-15,42120,42120,177840
"IA",2021-03-08,38610,38610,216450
"IA",2021-03-01,35100,35100,251550
"IA",2021-02-22,31590,31590,283140
"IA",2021-02-15,19500,19500,302640
"IA",2021-02-08,19500,19500,322140
"IA",2021-02-01,19500,19500,341640
"IA",2021-01-25,19500,19500,361140
"IA",2021-01-18,19500,19500,380640
"IA",2021-01-11,19500,19500,400140
"IA",2021-01-04,18525,18525,418665
"IA",2020-12-28,24375,24375,443040
"IA",2020-12-21,19500,19500,462540
"IA",2020-12-14,26325,26325,488865
"KS",2021-04-05,38610,38610,38610
"KS",2021-03-29,47970,47970,86580
"KS",2021-03-22,38610,38610,125190
"KS",2021-03-15,38610,38610,163800
"KS",2021-03-08,35100,35100,198900
"KS",2021-03-01,32760,32760,231660
"KS",2021-02-22,28080,28080,259740
"KS",2021-02-15,18525,18525,278265
"KS",2021-02-08,18525,18525,296790
"KS",2021-02-01,17550,17550,314340
"KS",2021-01-25,18525,18525,332865
"KS",2021-01-18,18525,18525,351390
"KS",2021-01-11,17550,17550,368940
"KS",2021-01-04,17550,17550,386490
"KS",2020-12-28,22425,22425,408915
"KS",2020-12-21,17550,17550,426465
"KS",2020-12-14,24375,24375,450840
"KY",2021-04-05,60840,60840,60840
"KY",2021-03-29,73710,73710,134550
"KY",2021-03-22,60840,60840,195390
"KY",2021-03-15,59670,59670,255060
"KY",2021-03-08,54990,54990,310050
"KY",2021-03-01,50310,50310,360360
"KY",2021-02-22,44460,44460,404820
"KY",2021-02-15,28275,28275,433095
"KY",2021-02-08,28275,28275,461370
"KY",2021-02-01,28275,28275,489645
"KY",2021-01-25,28275,28275,517920
"KY",2021-01-18,28275,28275,546195
"KY",2021-01-11,27300,27300,573495
"KY",2021-01-04,27300,27300,600795
"KY",2020-12-28,34125,34125,634920
"KY",2020-12-21,27300,27300,662220
