"","State","Year","Week","Day","Outcome Variable","medicade_expansion","Population_density","Percent_homeless","Percent_living_under_the_federal_poverty_line_2018","Percent_at_risk_for_serious_illness_due_to_COVID","White","Black","American_Indian","Asian","Native_Hawaiian_Pacific_Islander","Other","Majority_Dem","Majority_Rep","day_care_closed","restaurants_closed","gyms_closed","movie_theatres_closed","bars_closed","casinos_closed","schools_closed","nusring_home_visits_banned"
"1","AK","2020","08",2020-02-20,0,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"2","AK","2020","08",2020-02-21,0,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"3","AK","2020","08",2020-02-22,0,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"4","AK","2020","08",2020-02-23,0,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"5","AK","2020","09",2020-02-24,0,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"6","AK","2020","09",2020-02-25,0,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"7","AK","2020","09",2020-02-26,0,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"8","AK","2020","09",2020-02-27,0,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"9","AK","2020","09",2020-02-28,0,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"10","AK","2020","09",2020-02-29,0,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"11","AK","2020","09",2020-03-01,0,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"12","AK","2020","10",2020-03-02,0,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"13","AK","2020","10",2020-03-03,0,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"14","AK","2020","10",2020-03-04,0,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"15","AK","2020","10",2020-03-05,0,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"16","AK","2020","10",2020-03-06,0,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"17","AK","2020","10",2020-03-07,0,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"18","AK","2020","10",2020-03-08,0,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"19","AK","2020","11",2020-03-09,0,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"20","AK","2020","11",2020-03-10,0,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"21","AK","2020","11",2020-03-11,0,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"22","AK","2020","11",2020-03-12,0.019528141516536,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"23","AK","2020","11",2020-03-13,0.019528141516536,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"24","AK","2020","11",2020-03-14,0.019528141516536,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"25","AK","2020","11",2020-03-15,0.019528141516536,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"26","AK","2020","12",2020-03-16,0.058584424549608,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"27","AK","2020","12",2020-03-17,0.11716884909922,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"28","AK","2020","12",2020-03-18,0.11716884909922,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"29","AK","2020","12",2020-03-19,0.17575327364882,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"30","AK","2020","12",2020-03-20,0.23433769819843,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"31","AK","2020","12",2020-03-21,0.2733939812315,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"32","AK","2020","12",2020-03-22,0.42961911336379,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"33","AK","2020","13",2020-03-23,0.66395681156222,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"34","AK","2020","13",2020-03-24,0.70301309459529,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"35","AK","2020","13",2020-03-25,1.0349915003764,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"36","AK","2020","13",2020-03-26,1.1521603494756,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"37","AK","2020","13",2020-03-27,1.4060261891906,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"38","AK","2020","13",2020-03-28,1.6989483119386,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"39","AK","2020","13",2020-03-29,1.7770608780048,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,0,0
"40","AK","2020","14",2020-03-30,1.6013076043559,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"41","AK","2020","14",2020-03-31,1.7770608780048,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"42","AK","2020","14",2020-04-01,1.6208357458725,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"43","AK","2020","14",2020-04-02,1.5231950382898,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"44","AK","2020","14",2020-04-03,1.4060261891906,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"45","AK","2020","14",2020-04-04,1.347441764641,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"46","AK","2020","14",2020-04-05,1.3864980476741,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"47","AK","2020","15",2020-04-06,1.4060261891906,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"48","AK","2020","15",2020-04-07,1.5622513213229,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"49","AK","2020","15",2020-04-08,1.640363887389,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"50","AK","2020","15",2020-04-09,1.7380045949717,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"51","AK","2020","15",2020-04-10,1.7575327364882,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"52","AK","2020","15",2020-04-11,1.6989483119386,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"53","AK","2020","15",2020-04-12,1.7184764534552,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"54","AK","2020","16",2020-04-13,1.6989483119386,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"55","AK","2020","16",2020-04-14,1.4255543307071,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"56","AK","2020","16",2020-04-15,1.3279136231244,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"57","AK","2020","16",2020-04-16,1.2693291985748,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"58","AK","2020","16",2020-04-17,1.2302729155418,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"59","AK","2020","16",2020-04-18,1.1131040664425,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"60","AK","2020","16",2020-04-19,0.91782265127719,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"61","AK","2020","17",2020-04-20,0.85923822672758,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"62","AK","2020","17",2020-04-21,0.85923822672758,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"63","AK","2020","17",2020-04-22,0.82018194369451,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"64","AK","2020","17",2020-04-23,0.72254123611183,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"65","AK","2020","17",2020-04-24,0.58584424549608,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"66","AK","2020","17",2020-04-25,0.4882035379134,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"67","AK","2020","17",2020-04-26,0.42961911336379,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"68","AK","2020","18",2020-04-27,0.46867539639686,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"69","AK","2020","18",2020-04-28,0.42961911336379,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"70","AK","2020","18",2020-04-29,0.39056283033072,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"71","AK","2020","18",2020-04-30,0.35150654729765,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"72","AK","2020","18",2020-05-01,0.4882035379134,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"73","AK","2020","18",2020-05-02,0.50773167942993,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"74","AK","2020","18",2020-05-03,0.52725982094647,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"75","AK","2020","19",2020-05-04,0.4882035379134,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"76","AK","2020","19",2020-05-05,0.39056283033072,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"77","AK","2020","19",2020-05-06,0.33197840578111,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"78","AK","2020","19",2020-05-07,0.37103468881418,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"79","AK","2020","19",2020-05-08,0.25386583971497,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"80","AK","2020","19",2020-05-09,0.25386583971497,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"81","AK","2020","19",2020-05-10,0.2148095566819,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"82","AK","2020","20",2020-05-11,0.2148095566819,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,1,1,1,0,1,0
"83","AK","2020","20",2020-05-12,0.23433769819843,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,1,1,1,0,1,0
"84","AK","2020","20",2020-05-13,0.2148095566819,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,1,1,1,0,1,0
"85","AK","2020","20",2020-05-14,0.25386583971497,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,1,1,1,0,1,0
"86","AK","2020","20",2020-05-15,0.19528141516536,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,1,1,1,0,1,0
"87","AK","2020","20",2020-05-16,0.17575327364882,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,1,1,1,0,1,0
"88","AK","2020","20",2020-05-17,0.33197840578111,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,1,1,1,0,1,0
"89","AK","2020","21",2020-05-18,0.35150654729765,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,1,1,1,0,1,0
"90","AK","2020","21",2020-05-19,0.31245026426458,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,1,1,1,0,1,0
"91","AK","2020","21",2020-05-20,0.35150654729765,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,1,1,1,0,1,0
"92","AK","2020","21",2020-05-21,0.2733939812315,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,1,1,1,0,1,0
"93","AK","2020","21",2020-05-22,0.31245026426458,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,1,1,1,0,1,0
"94","AK","2020","21",2020-05-23,0.39056283033072,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,1,1,1,0,1,0
"95","AK","2020","21",2020-05-24,0.2148095566819,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,1,1,1,0,1,0
"96","AK","2020","22",2020-05-25,0.17575327364882,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,1,0
"97","AK","2020","22",2020-05-26,0.2148095566819,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,1,0
"98","AK","2020","22",2020-05-27,0.19528141516536,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,1,0
"99","AK","2020","22",2020-05-28,0.44914725488033,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,1,0
"100","AK","2020","22",2020-05-29,0.50773167942993,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,1,0
"101","AK","2020","22",2020-05-30,0.50773167942993,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,1,0
