"","State","Year","Week","covid_measure","Date","medicade_expansion","Population_density","Percent_homeless","Percent_living_under_the_federal_poverty_line_2018","Percent_at_risk_for_serious_illness_due_to_COVID","White","Black","American_Indian","Asian","Native_Hawaiian_Pacific_Islander","Other","Majority_Dem","Majority_Rep","day_care_closed","restaurants_closed","gyms_closed","movie_theatres_closed","bars_closed","casinos_closed","schools_closed","nusring_home_visits_banned"
"1","AK","2020","15",1.4060261891906,2020-04-06,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"2","AK","2020","16",1.6989483119386,2020-04-13,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"3","AK","2020","17",0.85923822672758,2020-04-20,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"4","AK","2020","18",0.46867539639686,2020-04-27,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"5","AK","2020","19",0.4882035379134,2020-05-04,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"6","AK","2020","20",0.2148095566819,2020-05-11,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,1,1,1,0,1,0
"7","AK","2020","21",0.35150654729765,2020-05-18,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,1,1,1,0,1,0
"8","AK","2020","22",0.17575327364882,2020-05-25,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,1,0
"9","AK","2020","23",1.1326322079591,2020-06-01,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,1,0
"10","AK","2020","24",1.8747015855875,2020-06-08,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,1,0
"11","AK","2020","25",1.9723422931701,2020-06-15,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,1,0
