Jurisdiction,Week of Allocations,1st Dose Allocations,2nd Dose Allocations,running_total
AL,4/5/2021,66690,66690,66690
AL,3/29/2021,80730,80730,147420
AL,3/22/2021,66690,66690,214110
AL,3/15/2021,65520,65520,279630
AL,3/8/2021,60840,60840,340470
AL,3/1/2021,54990,54990,395460
AL,2/22/2021,47970,47970,443430
AL,2/15/2021,30225,30225,473655
AL,2/8/2021,30225,30225,503880
AL,2/1/2021,30225,30225,534105
AL,1/25/2021,30225,30225,564330
AL,1/18/2021,30225,30225,594555
AL,1/11/2021,29250,29250,623805
AL,1/4/2021,29250,29250,653055
AL,12/28/2020,38025,38025,691080
AL,12/21/2020,29250,29250,720330
AL,12/14/2020,40950,40950,761280
AK,4/5/2021,0,0,0
AK,3/29/2021,91260,79560,79560
AK,3/22/2021,0,0,79560
AK,3/15/2021,0,0,79560
AK,3/8/2021,0,0,79560
AK,3/1/2021,53820,53820,133380
AK,2/22/2021,0,0,133380
AK,2/15/2021,0,0,133380
AK,2/8/2021,0,0,133380
AK,2/1/2021,27300,27300,160680
AK,1/25/2021,0,0,160680
AK,1/18/2021,0,0,160680
AK,1/11/2021,0,0,160680
AK,1/4/2021,27300,27300,187980
AK,12/28/2020,0,0,187980
AK,12/21/2020,0,0,187980
AK,12/14/2020,35100,35100,223080
AZ,4/5/2021,93600,93600,93600
AZ,3/29/2021,114660,114660,208260
AZ,3/22/2021,93600,93600,301860
AZ,3/15/2021,92430,92430,394290
AZ,3/8/2021,85410,85410,479700
AZ,3/1/2021,78390,78390,558090
AZ,2/22/2021,69030,69030,627120
AZ,2/15/2021,42900,42900,670020
AZ,2/8/2021,42900,42900,712920
AZ,2/1/2021,42900,42900,755820
AZ,1/25/2021,42900,42900,798720
AZ,1/18/2021,42900,42900,841620
AZ,1/11/2021,41925,41925,883545
AZ,1/4/2021,41925,41925,925470
AZ,12/28/2020,53625,53625,979095
AZ,12/21/2020,41925,41925,1021020
AZ,12/14/2020,58500,58500,1079520
AR,4/5/2021,39780,39780,39780
AR,3/29/2021,49140,49140,88920
AR,3/22/2021,39780,39780,128700
AR,3/15/2021,39780,39780,168480
AR,3/8/2021,37440,37440,205920
AR,3/1/2021,33930,33930,239850
AR,2/22/2021,29250,29250,269100
AR,2/15/2021,18525,18525,287625
AR,2/8/2021,18525,18525,306150
AR,2/1/2021,18525,18525,324675
AR,1/25/2021,18525,18525,343200
AR,1/18/2021,18525,18525,361725
AR,1/11/2021,18525,18525,380250
AR,1/4/2021,18525,18525,398775
AR,12/28/2020,23400,23400,422175
AR,12/21/2020,18525,18525,440700
AR,12/14/2020,25350,25350,466050
CA,4/5/2021,524160,524160,524160
CA,3/29/2021,644670,644670,1168830
CA,3/22/2021,524160,524160,1692990
CA,3/15/2021,515970,515970,2208960
CA,3/8/2021,479700,479700,2688660
CA,3/1/2021,438750,438750,3127410
CA,2/22/2021,382590,382590,3510000
CA,2/15/2021,241800,241800,3751800
CA,2/8/2021,241800,241800,3993600
CA,2/1/2021,240825,240825,4234425
CA,1/25/2021,241800,241800,4476225
CA,1/18/2021,241800,241800,4718025
CA,1/11/2021,233025,233025,4951050
CA,1/4/2021,232050,232050,5183100
CA,12/28/2020,297375,297375,5480475
CA,12/21/2020,233025,233025,5713500
CA,12/14/2020,327600,327600,6041100
CO,4/5/2021,74880,74880,74880
CO,3/29/2021,92430,92430,167310
CO,3/22/2021,74880,74880,242190
CO,3/15/2021,73710,73710,315900
CO,3/8/2021,69030,69030,384930
CO,3/1/2021,63180,63180,448110
CO,2/22/2021,54990,54990,503100
CO,2/15/2021,35100,35100,538200
CO,2/8/2021,35100,35100,573300
CO,2/1/2021,34125,34125,607425
CO,1/25/2021,35100,35100,642525
CO,1/18/2021,35100,35100,677625
CO,1/11/2021,33150,33150,710775
CO,1/4/2021,33150,33150,743925
CO,12/28/2020,42900,42900,786825
CO,12/21/2020,33150,33150,819975
CO,12/14/2020,46800,46800,866775
CT,4/5/2021,50310,50310,50310
CT,3/29/2021,60840,60840,111150
CT,3/22/2021,50310,50310,161460
CT,3/15/2021,49140,49140,210600
CT,3/8/2021,45630,45630,256230
CT,3/1/2021,42120,42120,298350
CT,2/22/2021,36270,36270,334620
CT,2/15/2021,23400,23400,358020
CT,2/8/2021,23400,23400,381420
CT,2/1/2021,23400,23400,404820
CT,1/25/2021,23400,23400,428220
CT,1/18/2021,23400,23400,451620
CT,1/11/2021,22425,22425,474045
CT,1/4/2021,22425,22425,496470
CT,12/28/2020,28275,28275,524745
CT,12/21/2020,22425,22425,547170
CT,12/14/2020,31200,31200,578370
DE,4/5/2021,14040,14040,14040
DE,3/29/2021,16380,16380,30420
DE,3/22/2021,14040,14040,44460
DE,3/15/2021,12870,12870,57330
DE,3/8/2021,12870,12870,70200
DE,3/1/2021,11700,11700,81900
DE,2/22/2021,10530,10530,92430
DE,2/15/2021,6825,6825,99255
DE,2/8/2021,6825,6825,106080
DE,2/1/2021,6825,6825,112905
DE,1/25/2021,6825,6825,119730
DE,1/18/2021,6825,6825,126555
DE,1/11/2021,5850,5850,132405
DE,1/4/2021,5850,5850,138255
DE,12/28/2020,7800,7800,146055
DE,12/21/2020,5850,5850,151905
DE,12/14/2020,8775,8775,160680
DC,4/5/2021,10530,10530,10530
DC,3/29/2021,12870,12870,23400
DC,3/22/2021,10530,10530,33930
DC,3/15/2021,10530,10530,44460
DC,3/8/2021,9360,9360,53820
DC,3/1/2021,9360,9360,63180
DC,2/22/2021,8190,8190,71370
DC,2/15/2021,4875,4875,76245
DC,2/8/2021,4875,4875,81120
DC,2/1/2021,4875,4875,85995
DC,1/25/2021,4875,4875,90870
DC,1/18/2021,4875,4875,95745
DC,1/11/2021,4875,4875,100620
DC,1/4/2021,4875,4875,105495
DC,12/28/2020,5850,5850,111345
DC,12/21/2020,4875,4875,116220
DC,12/14/2020,6825,6825,123045
FL,4/5/2021,286650,286650,286650
FL,3/29/2021,352170,352170,638820
FL,3/22/2021,286650,286650,925470
FL,3/15/2021,281970,281970,1207440
FL,3/8/2021,262080,262080,1469520
FL,3/1/2021,239850,239850,1709370
FL,2/22/2021,209430,209430,1918800
FL,2/15/2021,132600,132600,2051400
FL,2/8/2021,132600,132600,2184000
FL,2/1/2021,131625,131625,2315625
FL,1/25/2021,132600,132600,2448225
FL,1/18/2021,132600,132600,2580825
FL,1/11/2021,127725,127725,2708550
FL,1/4/2021,126750,126750,2835300
FL,12/28/2020,162825,162825,2998125
FL,12/21/2020,127725,127725,3125850
FL,12/14/2020,179400,179400,3305250
GA,4/5/2021,136890,136890,136890
GA,3/29/2021,167310,167310,304200
GA,3/22/2021,136890,136890,441090
GA,3/15/2021,134550,134550,575640
GA,3/8/2021,125190,125190,700830
GA,3/1/2021,114660,114660,815490
