state,allocation_week,first_dose,second_dose,running_total
AK,12/14/2020,35100,35100,223080
AL,12/14/2020,40950,40950,761280
AR,12/14/2020,25350,25350,466050
AZ,12/14/2020,58500,58500,1079520
CA,12/14/2020,327600,327600,6041100
CO,12/14/2020,46800,46800,866775
CT,12/14/2020,31200,31200,578370
DC,12/14/2020,6825,6825,123045
DE,12/14/2020,8775,8775,160680
FL,12/14/2020,179400,179400,3305250
GA,12/14/2020,84825,84825,1574040
HI,12/14/2020,12675,12675,234000
IA,12/14/2020,26325,26325,488865
ID,12/14/2020,13650,13650,257790
IL,12/14/2020,136890,136890,2327130
IN,12/14/2020,55575,55575,1024335
KS,12/14/2020,24375,24375,450840
KY,12/14/2020,38025,38025,700245
LA,12/14/2020,39000,39000,725010
MA,12/14/2020,59475,59475,1102140
MD,12/14/2020,50700,50700,944580
ME,12/14/2020,12675,12675,223470
MI,12/14/2020,84825,84825,1563120
MN,12/14/2020,46800,46800,859365
MO,12/14/2020,51675,51675,954330
MS,12/14/2020,25350,25350,460980
MT,12/14/2020,9750,9750,172575
NC,12/14/2020,85800,85800,1588080
ND,12/14/2020,6825,6825,124215
NE,12/14/2020,16575,16575,297960
NH,12/14/2020,12675,12675,223470
NJ,12/14/2020,76050,76050,1393860
NM,12/14/2020,17550,17550,333450
NV,12/14/2020,25350,25350,459810
NY,12/14/2020,96525,96525,1771185
OH,12/14/2020,98475,98475,1821105
OK,12/14/2020,33150,33150,605475
OR,12/14/2020,35100,35100,657540
PA,12/14/2020,97500,97500,1789905
RI,12/14/2020,9750,9750,176085
SC,12/14/2020,42900,42900,782535
SD,12/14/2020,7800,7800,140985
TN,12/14/2020,56550,56550,1042665
TX,12/14/2020,224250,224250,4138875
UT,12/14/2020,23400,23400,436215
VA,12/14/2020,72150,72150,1320345
VT,12/14/2020,5850,5850,112905
WA,12/14/2020,62400,62400,1171755
WI,12/14/2020,49725,49725,916500
WV,12/14/2020,16575,16575,297960
WY,12/14/2020,4875,4875,97110
AK,12/21/2020,0,0,187980
AL,12/21/2020,29250,29250,720330
AR,12/21/2020,18525,18525,440700
AZ,12/21/2020,41925,41925,1021020
CA,12/21/2020,233025,233025,5713500
CO,12/21/2020,33150,33150,819975
CT,12/21/2020,22425,22425,547170
DC,12/21/2020,4875,4875,116220
DE,12/21/2020,5850,5850,151905
FL,12/21/2020,127725,127725,3125850
GA,12/21/2020,60450,60450,1489215
HI,12/21/2020,8775,8775,221325
IA,12/21/2020,19500,19500,462540
ID,12/21/2020,9750,9750,244140
IL,12/21/2020,136890,136890,2190240
IN,12/21/2020,39975,39975,968760
KS,12/21/2020,17550,17550,426465
KY,12/21/2020,27300,27300,662220
LA,12/21/2020,28275,28275,686010
MA,12/21/2020,42900,42900,1042665
MD,12/21/2020,36075,36075,893880
ME,12/21/2020,8775,8775,210795
MI,12/21/2020,60450,60450,1478295
MN,12/21/2020,33150,33150,812565
MO,12/21/2020,37050,37050,902655
MS,12/21/2020,17550,17550,435630
MT,12/21/2020,6825,6825,162825
NC,12/21/2020,61425,61425,1502280
ND,12/21/2020,4875,4875,117390
NE,12/21/2020,11700,11700,281385
NH,12/21/2020,8775,8775,210795
NJ,12/21/2020,53625,53625,1317810
NM,12/21/2020,12675,12675,315900
NV,12/21/2020,17550,17550,434460
NY,12/21/2020,68250,68250,1674660
OH,12/21/2020,70200,70200,1722630
OK,12/21/2020,23400,23400,572325
OR,12/21/2020,25350,25350,622440
PA,12/21/2020,69225,69225,1692405
RI,12/21/2020,6825,6825,166335
SC,12/21/2020,30225,30225,739635
SD,12/21/2020,5850,5850,133185
TN,12/21/2020,39975,39975,986115
TX,12/21/2020,159900,159900,3914625
UT,12/21/2020,16575,16575,412815
VA,12/21/2020,50700,50700,1248195
VT,12/21/2020,4875,4875,107055
WA,12/21/2020,44850,44850,1109355
WI,12/21/2020,35100,35100,866775
WV,12/21/2020,11700,11700,281385
WY,12/21/2020,3900,3900,92235
AK,12/28/2020,0,0,187980
AL,12/28/2020,38025,38025,691080
AR,12/28/2020,23400,23400,422175
AZ,12/28/2020,53625,53625,979095
CA,12/28/2020,297375,297375,5480475
CO,12/28/2020,42900,42900,786825
CT,12/28/2020,28275,28275,524745
DC,12/28/2020,5850,5850,111345
DE,12/28/2020,7800,7800,146055
FL,12/28/2020,162825,162825,2998125
GA,12/28/2020,77025,77025,1428765
HI,12/28/2020,11700,11700,212550
IA,12/28/2020,24375,24375,443040
ID,12/28/2020,12675,12675,234390
IL,12/28/2020,136890,136890,2053350
IN,12/28/2020,50700,50700,928785
KS,12/28/2020,22425,22425,408915
