State,State Abbreviation,State FIPS Code,Closed K-12 public schools,Closed day cares,Banned visitors to nursing homes,Closed other non-essential businesses,Closed restaurants except take out,Closed gyms,Closed movie theaters,Closed bars,Closed casinos,Mention of Tribal Casinos,,School & day care notes,Nursing home notes,Business notes,Casino notes,,,,,,,,,,,,,
Alabama,AL,1,3/20/2020,3/20/2020,3/19/2020,3/28/2020,3/19/2020,3/28/2020,3/28/2020,3/19/2020,03/28/20,0,,,,,,,,,,,,,,,,,,
Alaska,AK,2,3/16/2020,0,0,3/24/2020,3/18/2020,3/18/2020,3/18/2020,3/18/2020,0,0,,,,AK - Some businesses allowed to operate at minimum basic operations despite order to close non-essential businesses,,,,,,,,,,,,,,
Arizona,AZ,4,3/16/2020,0,0,3/31/2020,3/21/2020,3/21/2020,3/21/2020,3/21/2020,0,0,,,,,AZ- casinos temp closed but the decision was left up to sovereing tribal nations. Not a statewide mandate,,,,,,,,,,,,,
Arkansas,AR,5,3/17/2020,0,3/13/2020,4/6/2020,3/20/2020,3/20/2020,3/20/2020,3/20/2020,03/17/2020,0,,,,,,,,,,,,,,,,,,
California,CA,6,3/23/2020,0,0,3/19/2020,3/16/2020,3/19/2020,3/19/2020,3/16/2020,0,0,,,,CA - Restaurants and non-essential businesses closed with stay-at-home order,,,,,,,,,,,,,,
Colorado,CO,8,3/23/2020,0,3/12/2020,3/19/2020,3/17/2020,3/17/2020,3/17/2020,3/17/2020,03/17/2020,0,,,,,"CO- local ""variances"" allowed certain county re-openings no statewide opening order as of 11/30/2020",,,,,,,,,,,,,
Connecticut,CT,9,3/17/2020,0,3/9/2020,3/23/2020,3/16/2020,3/16/2020,3/16/2020,3/16/2020,0,1,,,,,CT- governor negotiated with tribal casinos for their closing and reopening of tribal casinos. The only non-tribal gaming is OTB. ,,,,,,,,,,,,,
Delaware,DE,10,3/16/2020,4/6/2020,0,3/24/2020,3/16/2020,3/19/2020,3/19/2020,3/16/2020,03/16/2020,0,,DE - Day cares only remained open for children of essential workers,,,,,,,,,,,,,,,,
District of Columbia,DC,11,3/16/2020,0,0,3/25/2020,3/16/2020,3/17/2020,3/17/2020,3/16/2020,0,0,,,,,,,,,,,,,,,,,,
Florida,FL,12,3/17/2020,0,3/15/2020,4/3/2020,4/3/2020,4/3/2020,4/3/2020,3/17/2020,0,0,,,,,,,,,,,,,,,,,,
Georgia,GA,13,3/18/2020,0,4/3/2020,4/3/2020,4/3/2020,4/3/2020,4/3/2020,3/24/2020,0,0,,,,"GA - Governor ordered non-essential businesses to operate at minimum basic operations, but did not order them to close",GA- All casinos in the state are on boats/cruises,,,,,,,,,,,,,
Hawaii,HI,15,3/16/2020,0,3/17/2020,3/25/2020,3/17/2020,3/25/2020,3/17/2020,3/17/2020,0,0,,,,,,,,,,,,,,,,,,
Idaho,ID,16,3/24/2020,0,0,3/25/2020,3/25/2020,3/25/2020,3/25/2020,3/25/2020,0,0,,,,,,,,,,,,,,,,,,
Illinois,IL,17,3/17/2020,3/23/2020,0,3/21/2020,3/16/2020,3/21/2020,3/21/2020,3/16/2020,03/16/2020,0,,IL - Day cares only remained open for children of essential workers,,,,,,,,,,,,,,,,
