"","State","Year","Week","Outcome Variable","week_first_date","medicade_expansion","Population_density","Percent_homeless","Percent_living_under_the_federal_poverty_line_2018","Percent_at_risk_for_serious_illness_due_to_COVID","White","Black","American_Indian","Asian","Native_Hawaiian_Pacific_Islander","Other","Majority_Dem","Majority_Rep","day_care_closed","restaurants_closed","gyms_closed","movie_theatres_closed","bars_closed","casinos_closed","schools_closed","nusring_home_visits_banned"
"1","AK","2020","14",1.4567993571336,2020-04-01,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"2","AK","2020","15",1.64594335639374,2020-04-06,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"3","AK","2020","16",1.28327787108663,2020-04-13,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"4","AK","2020","17",0.680695218576396,2020-04-20,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"5","AK","2020","18",0.451936989382689,2020-04-27,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"6","AK","2020","19",0.32918867127875,2020-05-04,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,1,1,1,1,0,1,0
"7","AK","2020","20",0.23154796369607,2020-05-11,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,1,1,1,0,1,0
"8","AK","2020","21",0.31523999876694,2020-05-18,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,1,1,1,0,1,0
"9","AK","2020","22",0.437988316870881,2020-05-25,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,1,0
"10","AK","2020","23",1.65989202890556,2020-06-01,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,1,0
"11","AK","2020","24",1.95560388615597,2020-06-08,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,1,0
"12","AK","2020","25",1.90538866511343,2020-06-15,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,1,0
"13","AK","2020","26",1.80495822302839,2020-06-22,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,1,0
"14","AK","2020","27",4.0200074249605,2020-06-29,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,1,0
"15","AK","2020","28",5.49019750280396,2020-07-06,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,1,0
"16","AK","2020","29",8.18229129795256,2020-07-13,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,1,0
"17","AK","2020","30",9.70827604596853,2020-07-20,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,1,0
"18","AK","2020","31",13.6641195998769,2020-07-27,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,1,0
"19","AK","2020","32",11.7336233181807,2020-08-03,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,1,0
"20","AK","2020","33",9.47114864091724,2020-08-10,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,1,0
"21","AK","2020","34",10.3666534058693,2020-08-17,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,1,0
"22","AK","2020","35",9.42651288571428,2020-08-24,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,1,0
"23","AK","2020","36",9.47951784285714,2020-08-31,1,1.11,0.258598011,10.9,32.8,0.65,0.03,0.15,0.06,0.01,0.02,0,1,0,0,0,0,0,0,1,0
