Date,State,day_care_closed,restaurants_closed,gyms_closed,movie_theatres_closed,bars_closed,casinos_closed,schools_closed,nusring_home_visits_banned
5/4/2020,KY,1,1,1,1,1,0,1,0
3/23/2020,NH,0,0,0,0,0,0,0,0
10/28/2020,RI,0,0,0,0,0,0,0,1
5/29/2020,NJ,1,1,1,1,1,1,1,0
2/14/2020,DC,0,0,0,0,0,0,0,0
2/8/2020,WA,0,0,0,0,0,0,0,0
6/6/2020,MT,0,0,0,0,0,0,1,1
5/2/2020,NC,0,1,1,1,1,0,1,1
8/17/2020,IL,0,0,0,0,0,0,1,0
11/1/2020,MI,0,0,0,0,1,0,1,1
11/15/2020,WA,0,0,0,1,0,0,1,1
2/18/2021,AL,0,0,0,0,0,0,1,1
8/14/2020,MS,0,0,0,0,0,0,1,1
3/13/2020,MS,0,0,0,0,0,0,0,0
4/21/2020,AL,1,1,1,1,1,1,1,1
7/29/2020,NV,0,0,0,0,0,0,1,0
4/21/2020,IN,0,1,1,1,1,1,1,0
1/18/2021,IL,0,1,0,1,1,1,1,0
5/8/2020,NJ,1,1,1,1,1,1,1,0
5/14/2020,VA,0,1,1,1,1,0,1,0
8/6/2020,MS,0,0,0,0,0,0,1,1
8/5/2020,WY,0,0,0,0,0,0,1,0
5/31/2020,DC,0,1,1,1,1,0,1,0
3/28/2020,NV,0,0,0,0,0,0,0,0
2/9/2020,NJ,0,0,0,0,0,0,0,0
10/14/2020,DE,0,0,0,0,0,0,1,0
3/3/2021,VT,0,0,0,0,0,0,1,1
2/8/2020,OR,0,0,0,0,0,0,0,0
2/14/2020,RI,0,0,0,0,0,0,0,0
3/23/2020,ME,0,0,0,0,0,0,0,0
5/1/2020,MO,0,1,1,1,1,1,1,1
2/21/2021,VA,0,0,0,0,0,0,1,0
8/21/2020,ND,0,0,0,0,0,0,1,1
10/6/2020,ID,0,0,0,0,0,0,1,0
8/20/2020,LA,0,0,0,0,1,0,1,1
5/27/2020,WI,0,1,1,1,1,0,1,0
1/8/2021,MN,0,1,1,1,1,0,1,0
10/10/2020,DE,0,0,0,0,0,0,1,0
3/9/2020,CA,0,0,0,0,0,0,0,0
1/15/2021,CT,0,0,0,0,1,0,1,1
1/11/2021,ND,0,0,0,0,0,0,1,1
10/8/2020,IN,0,0,0,0,0,0,1,0
1/9/2021,RI,0,0,0,0,0,0,0,1
1/27/2021,AL,0,0,0,0,0,0,1,1
2/15/2020,IN,0,0,0,0,0,0,0,0
12/9/2020,IL,0,1,0,1,1,1,1,0
8/2/2020,VT,0,0,0,0,0,0,1,1
2/23/2020,MN,0,0,0,0,0,0,0,0
2/24/2020,MD,0,0,0,0,0,0,0,0
4/1/2020,KY,0,1,1,1,1,0,1,0
4/8/2020,NH,0,1,0,0,1,0,1,1
9/12/2020,NJ,0,0,1,1,0,0,1,1
10/10/2020,AL,0,0,0,0,0,0,1,1
7/30/2020,WI,0,0,0,0,0,0,1,0
2/5/2020,NV,0,0,0,0,0,0,0,0
4/28/2020,DE,1,1,1,1,1,1,1,0
1/23/2021,SC,0,0,0,0,0,0,1,1
1/13/2021,VA,0,0,0,0,0,0,1,0
2/25/2020,MN,0,0,0,0,0,0,0,0
3/2/2021,MI,0,0,0,0,1,0,1,1
5/5/2020,IN,0,1,1,1,1,1,1,0
12/26/2020,DC,0,0,0,0,0,0,1,0
2/26/2021,ID,0,0,0,0,0,0,1,0
2/1/2020,WI,0,0,0,0,0,0,0,0
4/12/2020,SC,0,1,0,0,1,0,1,1
2/10/2020,OR,0,0,0,0,0,0,0,0
7/5/2020,CT,0,0,0,0,1,0,1,1
8/1/2020,AZ,0,0,1,1,1,0,1,0
10/6/2020,WY,0,0,0,0,0,0,1,0
4/14/2020,MN,0,1,1,1,1,0,1,0
2/6/2020,ID,0,0,0,0,0,0,0,0
4/1/2020,NV,0,0,0,0,0,1,1,0
2/8/2020,DC,0,0,0,0,0,0,0,0
12/13/2020,IL,0,1,0,1,1,1,1,0
3/19/2020,DC,0,0,0,0,0,0,0,0
7/23/2020,DC,0,0,0,0,0,0,1,0
2/16/2020,DC,0,0,0,0,0,0,0,0
1/22/2021,OR,0,1,1,1,1,0,1,1
12/16/2020,MI,0,0,0,0,1,0,1,1
9/21/2020,ND,0,0,0,0,0,0,1,1
11/29/2020,NJ,0,0,0,0,0,0,1,1
3/22/2020,MN,0,0,0,0,0,0,0,0
9/29/2020,AL,0,0,0,0,0,0,1,1
7/3/2020,IN,0,0,0,0,0,0,1,0
1/28/2021,IN,0,0,0,0,0,0,1,0
4/3/2020,KY,0,1,1,1,1,0,1,0
1/28/2021,NV,0,0,0,0,0,0,1,0
7/21/2020,ID,0,0,0,0,0,0,1,0
4/28/2020,WY,1,1,1,1,1,0,1,0
12/4/2020,AL,0,0,0,0,0,0,1,1
10/22/2020,LA,0,0,0,0,1,0,1,1
2/16/2021,ID,0,0,0,0,0,0,1,0
12/31/2020,AZ,0,0,1,1,1,0,1,0
8/9/2020,NJ,0,0,1,1,0,0,1,1
11/20/2020,LA,0,0,0,0,1,0,1,1
8/10/2020,SC,0,0,0,1,0,0,1,1
11/17/2020,MI,0,0,0,0,1,0,1,1
10/13/2020,ME,0,0,0,0,0,0,1,0
8/4/2020,OR,0,0,0,1,0,0,1,1
3/19/2020,MS,0,0,0,0,0,0,0,0
4/29/2020,NE,0,1,1,1,1,0,1,0
6/26/2020,NJ,1,1,1,1,1,1,1,0
7/21/2020,NJ,0,0,1,1,0,0,1,1
2/13/2020,MS,0,0,0,0,0,0,0,0
10/9/2020,VA,0,0,0,0,0,0,1,0
9/15/2020,IN,0,0,0,0,0,0,1,0
7/9/2020,ME,0,0,0,1,0,0,1,0
2/29/2020,CA,0,0,0,0,0,0,0,0
8/21/2020,NE,0,0,1,0,0,0,1,0
3/3/2020,SC,0,0,0,0,0,0,0,0
4/17/2020,OR,1,1,1,1,1,0,1,1
7/16/2020,AZ,0,0,1,1,1,0,1,0
6/22/2020,IL,0,0,0,1,1,1,1,0
11/20/2020,ND,0,0,0,0,0,0,1,1
5/26/2020,ND,0,0,0,0,0,0,1,1
11/10/2020,CT,0,0,0,0,1,0,1,1
4/11/2020,CT,0,1,1,1,1,0,1,1
2/20/2021,SC,0,0,0,0,0,0,1,1
4/10/2020,IL,1,1,1,1,1,1,1,0
2/6/2020,NV,0,0,0,0,0,0,0,0
8/17/2020,NJ,0,0,1,1,0,0,1,1
5/5/2020,ID,0,1,1,1,1,0,1,0
8/16/2020,WI,0,0,0,0,0,0,1,0
5/26/2020,ID,0,1,1,1,1,0,1,0
2/2/2021,NE,0,0,1,0,0,0,1,0
1/22/2020,AL,0,0,0,0,0,0,0,0
10/14/2020,IN,0,0,0,0,0,0,1,0
10/10/2020,NJ,0,0,0,0,0,0,1,1
2/16/2021,MN,0,1,1,1,1,0,1,0
2/6/2020,NH,0,0,0,0,0,0,0,0
7/23/2020,SC,0,0,0,1,0,0,1,1
10/23/2020,DE,0,0,0,0,0,0,1,0
9/17/2020,DE,0,0,0,0,0,0,1,0
12/6/2020,NE,0,0,1,0,0,0,1,0
6/3/2020,NH,0,0,1,1,1,0,1,1
3/16/2020,DC,0,0,0,0,0,0,0,0
2/22/2020,DE,0,0,0,0,0,0,0,0
4/30/2020,NV,0,1,1,1,1,1,1,0
8/1/2020,IL,0,0,0,0,0,0,1,0
2/18/2020,CA,0,0,0,0,0,0,0,0
3/19/2020,NV,0,0,0,0,0,0,0,0
7/18/2020,VT,0,0,0,0,0,0,1,1
4/17/2020,MO,0,1,1,1,1,1,1,1
2/17/2021,NH,0,0,0,0,0,0,1,1
2/8/2021,NV,0,0,0,0,0,0,1,0
8/29/2020,VT,0,0,0,0,0,0,1,1
5/13/2020,IN,0,1,1,1,1,1,1,0
8/15/2020,CA,0,1,1,1,1,0,1,0
1/15/2021,MI,0,0,0,0,1,0,1,1
12/11/2020,MS,0,0,0,0,0,0,1,1
3/7/2020,AL,0,0,0,0,0,0,0,0
9/22/2020,NH,0,0,0,0,0,0,1,1
11/14/2020,ME,0,0,0,0,0,0,1,0
2/1/2021,VA,0,0,0,0,0,0,1,0
1/23/2020,NJ,0,0,0,0,0,0,0,0
12/27/2020,DE,0,0,0,0,0,0,1,0
2/13/2020,IN,0,0,0,0,0,0,0,0
10/12/2020,WI,0,0,0,0,0,0,1,0
5/26/2020,IL,1,1,1,1,1,1,1,0
1/21/2021,RI,0,0,0,0,0,0,0,1
3/20/2020,MN,0,0,0,0,0,0,0,0
8/21/2020,IN,0,0,0,0,0,0,1,0
7/17/2020,NJ,0,0,1,1,0,0,1,1
10/16/2020,CA,0,1,1,1,1,0,1,0
5/4/2020,MD,1,1,1,1,1,1,1,1
2/20/2021,WY,0,0,0,0,0,0,1,0
2/17/2020,MD,0,0,0,0,0,0,0,0
5/9/2020,CA,0,1,1,1,1,0,1,0
10/8/2020,SC,0,0,0,0,0,0,1,1
4/27/2020,NJ,1,1,1,1,1,1,1,0
5/12/2020,OR,1,1,1,1,1,0,1,1
4/9/2020,WI,0,1,1,1,1,0,1,0
10/22/2020,WY,0,0,0,0,0,0,1,0
9/8/2020,DE,0,0,0,0,0,0,1,0
10/25/2020,NV,0,0,0,0,0,0,1,0
11/7/2020,AL,0,0,0,0,0,0,1,1
5/10/2020,CT,0,1,1,1,1,0,1,1
1/18/2021,NE,0,0,1,0,0,0,1,0
8/14/2020,NC,0,0,1,1,1,0,1,1
5/11/2020,WY,1,1,1,1,1,0,1,0
1/30/2021,RI,0,0,0,0,0,0,0,1
2/18/2021,MT,0,0,0,0,0,0,1,1
12/14/2020,VA,0,0,0,0,0,0,1,0
1/27/2020,RI,0,0,0,0,0,0,0,0
10/26/2020,CT,0,0,0,0,1,0,1,1
7/28/2020,MD,0,0,0,1,0,0,1,1
8/11/2020,WA,0,0,1,1,0,0,1,1
9/8/2020,AL,0,0,0,0,0,0,1,1
4/30/2020,SC,0,1,1,1,1,1,1,1
7/27/2020,DC,0,0,0,0,0,0,1,0
6/2/2020,NE,0,1,1,1,1,0,1,0
10/29/2020,WI,0,0,0,0,0,0,1,0
3/26/2020,AZ,0,0,0,0,0,0,0,0
2/7/2020,KY,0,0,0,0,0,0,0,0
6/27/2020,MD,1,0,1,1,0,1,1,1
