"","preds_act$Predicted - preds_act$Observed"
"1",-2.13112879479188
"2",-1.60626340520847
"3",-22.5062276890204
"4",-9.74901661269173
"5",-42.004508078462
"6",-1.23630823993702
"7",-23.0017670250359
"8",-13.3342446165074
"9",-18.9720219346707
"10",-1.67826561179174
"11",-11.6656179147566
"12",-5.03009077692854
"13",-22.1268321739063
"14",-1.4963189964137
"15",-9.38874244692366
"16",-0.773901481936743
"17",-16.2744833818824
"18",-6.20840964406061
"19",-12.4647441775323
"20",-9.56875425118823
"21",-16.1530090350458
"22",-8.74719969726277
"23",-5.02267882758813
"24",-2.37081699708731
"25",-13.2166006464934
"26",-9.63703346149381
"27",-12.7654802234267
"28",-5.69931855511397
"29",-10.4898684973014
"30",-6.12822908718868
"31",-16.9830360016512
"32",-11.8749526753105
"33",-15.655867316572
"34",-16.0634515285877
"35",-23.0919886522443
"36",-15.1626620505604
"37",-25.4084309905571
"38",-9.31088584351512
"39",-18.4902939902033
"40",-8.68904763382834
"41",-11.1277489397031
"42",-6.01586610676118
"43",-9.69784468545457
"44",-4.8972122369282
"45",-8.85891498695375
"46",-2.72990366803815
"47",-4.20797447159682
"48",-2.00777585766933
"49",-9.66746428865979
"50",-6.34940140937494
"51",-20.9950958700881
"52",-11.0037380461462
"53",-13.1149615264001
"54",-11.6046653237965
"55",-21.631948135269
"56",-10.8626480694534
"57",-0.551084169570197
"58",-1.56763177306857
"59",-13.8944964957465
"60",-14.6203309401677
"61",-1.19622897638893
"62",-9.15974972254192
"63",-7.5361841016295
"64",-2.51712536258781
"65",-11.2842757691408
"66",-8.43388537024484
"67",-16.2876896205438
"68",-13.0268517720482
"69",-6.84143216609274
"70",-2.74214734683819
"71",-15.7954404388379
"72",-12.0813975785767
"73",-33.3809065416745
"74",-20.4620956122811
"75",-3.02252994891149
"76",0.285156494279827
"77",-11.092412062425
"78",-13.3581680858758
"79",-22.3070102825844
"80",-15.785528970981
"81",-14.3221908653882
"82",-22.042793394518
"83",-6.94104361221041
"84",-5.99473528941748
"85",-23.1353623301498
"86",-11.9088204504638
"87",-36.0672345986324
"88",-15.5408147179237
"89",-13.9250960308862
"90",-12.8556802463846
"91",-18.6215955579479
"92",-18.5068355936379
"93",-9.17325718759043
"94",-7.55871498358679
"95",-7.48608612247349
"96",-0.389184532361341
"97",-13.9027796898223
"98",-8.83547000963906
"99",-17.6595357373215
"100",-11.7944624484972
"101",-5.81103061141555
"102",-1.53017731511066
