"","submission_date","state","political.party.affilation","Total.population","day_care_closed","restaurants_closed","gyms_closed","movie_theatres_closed","bars_closed","casinos_closed","schools_closed","nusring_home_visits_banned","new_deaths_per_100k","new_cases_per_100k","log_new_deaths_per_100k","log_new_cases_per_100k","per.male","per.female","per.65.and.over","per.white","per.black","per.amer.ind","per.asian","per.pac.isl","pop.dens"
"1","2020-05-04","KY","REPUBLICAN","4449052","1","1","1","1","1","0","1","0",0.179813587254094,2.5848203167776,-1.71583459108959,0.949655995593824,49.2,50.8,16,87,8.1,0.2,1.5,0.1,112.674162994479
"2","2020-03-23","NH","DEMOCRAT","1348124","0","0","0","0","0","0","0","0",0.074177152843507,1.70607451540066,-2.60129908938408,0.534195126545074,49.5,50.5,17.5,92.9,1.6,0.2,2.7,0,150.577906846867
"3","2020-10-28","RI","DEMOCRAT","1057231","0","0","0","0","0","0","0","1",0.378346832433026,47.1987673460199,-0.97194395793156,3.85436777670007,48.6,51.4,16.8,80.5,6.8,0.5,3.4,0.1,1022.46711798839
"4","2020-05-29","NJ","DEMOCRAT","8878503","1","1","1","1","1","1","1","0",1.46421080220393,18.8432667083629,0.381316395749927,2.93615564628117,48.8,51.2,15.9,67.8,13.5,0.2,9.5,0,1207.30255643187
"5","2020-02-14","DC","DEMOCRAT","692683","0","0","0","0","0","0","0","0",0,0,-Inf,-Inf,47.4,52.6,12.1,41.3,46.3,0.3,4,0.1,11355.4590163934
"6","2020-02-08","WA","DEMOCRAT","7404107","0","0","0","0","0","0","0","0",0,0,-Inf,-Inf,50,50,15.1,75.4,3.8,1.3,8.5,0.7,111.413672204165
"7","2020-06-06","MT","REPUBLICAN","1050649","0","0","0","0","0","0","1","1",0,0,-Inf,-Inf,50.3,49.7,18.2,88.5,0.5,6.4,0.8,0.1,7.21867313426683
"8","2020-05-02","NC","REPUBLICAN","10264876","0","1","1","1","1","0","1","1",0.20458113668397,5.70878790937173,-1.58679062578546,1.74200672606813,48.7,51.3,15.9,68.7,21.4,1.2,2.9,0.1,211.133242831873
"9","2020-08-17","IL","DEMOCRAT","12770631","0","0","0","0","0","0","1","0",0.0939655996637911,13.8834173503251,-2.36482652471571,2.6306951315705,49.1,50.9,15.2,71.5,14.2,0.3,5.5,0,230.022712945118
"10","2020-11-01","MI","DEMOCRAT","9965265","0","0","0","0","1","0","1","1",0,0,-Inf,-Inf,49.2,50.8,16.7,78.4,13.8,0.5,3.1,0,176.254709138825
"11","2020-11-15","WA","DEMOCRAT","7404107","0","0","0","1","0","0","1","1",0,31.1853948085839,-Inf,3.43994987010586,50,50,15.1,75.4,3.8,1.3,8.5,0.7,111.413672204165
"12","2021-02-18","AL","REPUBLICAN","4876250","0","0","0","0","0","0","1","1",1.59958984875673,24.5680594719303,0.469747251856817,3.20144720384262,48.4,51.6,16.5,68.1,26.6,0.5,1.4,0,96.2829499457005
"13","2020-08-14","MS","REPUBLICAN","2984418","0","0","0","0","0","0","1","1",1.07223585972206,31.6309578618009,0.0697460568455592,3.45413632019133,48.5,51.5,15.4,58.4,37.7,0.5,1,0,63.6024550859919
"14","2020-03-13","MS","REPUBLICAN","2984418","0","0","0","0","0","0","0","0",0,0,-Inf,-Inf,48.5,51.5,15.4,58.4,37.7,0.5,1,0,63.6024550859919
"15","2020-04-21","AL","REPUBLICAN","4876250","1","1","1","1","1","1","1","1",0.676749551397078,5.00384516790566,-0.390454013366295,1.61020665046043,48.4,51.6,16.5,68.1,26.6,0.5,1.4,0,96.2829499457005
"16","2020-07-29","NV","DEMOCRAT","2972382","0","0","0","0","0","0","1","0",0.706504076528522,29.2694545990388,-0.347426306840908,3.3765444670843,50.2,49.8,15.4,65.6,9.1,1.3,8.2,0.7,27.0755595230504
"17","2020-04-21","IN","REPUBLICAN","6665703","0","1","1","1","1","1","1","0",0.915132282371417,6.16589127958446,-0.0886866532582576,1.81903269706467,49.3,50.7,15.4,83.3,9.4,0.2,2.3,0,186.057695528387
"18","2021-01-18","IL","DEMOCRAT","12770631","0","1","0","1","1","1","1","0",0.532471731428149,26.5061295718277,-0.630225469327603,3.27737601084267,49.1,50.9,15.2,71.5,14.2,0.3,5.5,0,230.022712945118
"19","2020-05-08","NJ","DEMOCRAT","8878503","1","1","1","1","1","1","1","0",1.70073716255995,20.6566354710924,0.531061782109269,3.02803659811075,48.8,51.2,15.9,67.8,13.5,0.2,9.5,0,1207.30255643187
"20","2020-05-14","VA","DEMOCRAT","8454463","0","1","1","1","1","0","1","0",0.260217591584468,10.160314144139,-1.34623710725489,2.31848936137105,49.2,50.8,15,67.6,19.2,0.3,6.4,0.1,214.091238288174
"21","2020-08-06","MS","REPUBLICAN","2984418","0","0","0","0","0","0","1","1",0.703654782942604,32.0330463091966,-0.351467408230744,3.46676806709723,48.5,51.5,15.4,58.4,37.7,0.5,1,0,63.6024550859919
"22","2020-08-05","WY","REPUBLICAN","581024","0","0","0","0","0","0","1","0",0,6.71228727212645,-Inf,1.90393976802948,51,49,15.7,91.4,1,2.4,0.9,0.1,5.98420071477861
"23","2020-05-31","DC","DEMOCRAT","692683","0","1","1","1","1","0","1","0",0.577464727732599,12.1267592823846,-0.549107915970805,2.49541452175262,47.4,52.6,12.1,41.3,46.3,0.3,4,0.1,11355.4590163934
"24","2020-07-12","DE","DEMOCRAT","957248","0","0","0","0","0","0","1","0",-0.104466136257271,-10.3421474894698,NA,NA,48.4,51.6,18.2,68.8,22.2,0.4,3.9,0.1,491.148281169831
"25","2020-02-09","NJ","DEMOCRAT","8878503","0","0","0","0","0","0","0","0",0,0,-Inf,-Inf,48.8,51.2,15.9,67.8,13.5,0.2,9.5,0,1207.30255643187
"26","2020-10-14","DE","DEMOCRAT","957248","0","0","0","0","0","0","1","0",0.104466136257271,7.41709567426623,-2.25889231504877,2.00378756199255,48.4,51.6,18.2,68.8,22.2,0.4,3.9,0.1,491.148281169831
"27","2021-03-03","VT","DEMOCRAT","624313","0","0","0","0","0","0","1","1",0.160176065531232,18.4202475360917,-1.83148165918493,2.91345046917832,49.3,50.7,18.8,94.2,1.4,0.3,1.7,0.1,67.7349462948899
"28","2020-02-08","OR","DEMOCRAT","4129803","0","0","0","0","0","0","0","0",0,0,-Inf,-Inf,49.6,50.4,17.2,84.3,1.9,1.2,4.4,0.4,43.0241592699087
"29","2020-02-14","RI","DEMOCRAT","1057231","0","0","0","0","0","0","0","0",0,0,-Inf,-Inf,48.6,51.4,16.8,80.5,6.8,0.5,3.4,0.1,1022.46711798839
"30","2020-03-23","ME","DEMOCRAT","1335492","0","0","0","0","0","0","0","0",0,1.19806034030904,-Inf,0.180703865961617,49,51,20,94.3,1.4,0.6,1.1,0,43.2996790195506
"31","2020-05-01","MO","REPUBLICAN","6104910","0","1","1","1","1","1","1","1",0.131042062864154,4.47181039523924,-2.03223691675347,1.49779333675165,49.1,50.9,16.5,82.2,11.5,0.4,2,0.1,88.8090250501877
"32","2021-02-21","VA","DEMOCRAT","8454463","0","0","0","0","0","0","1","0",1.83335121343603,13.6614235581846,0.606145556306045,2.61457606234269,49.2,50.8,15,67.6,19.2,0.3,6.4,0.1,214.091238288174
"33","2020-08-21","ND","REPUBLICAN","756717","0","0","0","0","0","0","1","1",0.396449399180936,34.6232475284684,-0.925206864762581,3.54452535033041,51.2,48.8,14.9,86.6,2.9,5.3,1.5,0.1,10.966754105013
"34","2020-10-06","ID","REPUBLICAN","1717750","0","0","0","0","0","0","1","0",0.2910784456411,38.4223548246252,-1.23416247548899,3.64863944709738,50.1,49.9,15.4,90,0.7,1.3,1.4,0.2,20.785184468134
"35","2020-08-20","LA","REPUBLICAN","4664362","0","0","0","0","1","0","1","1",0.600296460694946,19.68114824707,-0.51033164463553,2.97966123580976,48.9,51.1,15,62,32.2,0.6,1.7,0,107.961346171651
"36","2020-05-27","WI","DEMOCRAT","5790716","0","1","1","1","1","0","1","0",0.379918476402573,10.3441439711428,-0.967798585060502,2.33642055969663,49.7,50.3,16.5,85.4,6.4,0.9,2.8,0,106.92263377525
"37","2021-01-08","MN","DEMOCRAT","5563378","0","1","1","1","1","0","1","0",0.862785163977713,42.6719162350644,-0.147589559819295,3.75354100444243,49.8,50.2,15.4,82.8,6.4,1,4.8,0,69.8679844776269
"38","2020-10-10","DE","DEMOCRAT","957248","0","0","0","0","0","0","1","0",0.313398408771813,31.6532392859531,-1.16028002638066,3.4548404904606,48.4,51.6,18.2,68.8,22.2,0.4,3.9,0.1,491.148281169831
"39","2020-03-09","CA","DEMOCRAT","39283497","0","0","0","0","0","0","0","0",0.00254559821901803,0.0636399554754507,-5.97338960001251,-2.75451377514431,49.7,50.3,14,59.7,5.8,0.8,14.5,0.4,252.174535720476
"40","2021-01-15","CT","DEMOCRAT","3575074","0","0","0","0","1","0","1","1",1.14682940828637,52.5303811893124,0.137001098477819,3.96139169154172,48.8,51.2,16.8,75.9,10.7,0.3,4.5,0,738.346551011978
"41","2021-01-11","ND","REPUBLICAN","756717","0","0","0","0","0","0","1","1",0.396449399180936,18.236672362323,-0.925206864762581,2.90343453172651,51.2,48.8,14.9,86.6,2.9,5.3,1.5,0.1,10.966754105013
"42","2020-10-08","IN","REPUBLICAN","6665703","0","0","0","0","0","0","1","0",0.225032528451988,21.7531444170255,-1.49151031632936,3.07975831798305,49.3,50.7,15.4,83.3,9.4,0.2,2.3,0,186.057695528387
"43","2021-01-09","RI","DEMOCRAT","1057231","0","0","0","0","0","0","0","1",0,0,-Inf,-Inf,48.6,51.4,16.8,80.5,6.8,0.5,3.4,0.1,1022.46711798839
"44","2021-01-27","AL","REPUBLICAN","4876250","0","0","0","0","0","0","1","1",5.66008715713919,65.1525249935914,1.73343929088437,4.17673105943674,48.4,51.6,16.5,68.1,26.6,0.5,1.4,0,96.2829499457005
"45","2020-02-15","IN","REPUBLICAN","6665703","0","0","0","0","0","0","0","0",0,0,-Inf,-Inf,49.3,50.7,15.4,83.3,9.4,0.2,2.3,0,186.057695528387
"46","2020-12-09","IL","DEMOCRAT","12770631","0","1","0","1","1","1","1","0",1.79317686025068,64.6483325686883,0.58398882905053,4.16896231321763,49.1,50.9,15.2,71.5,14.2,0.3,5.5,0,230.022712945118
"47","2020-08-02","VT","DEMOCRAT","624313","0","0","0","0","0","0","1","1",0,0.80088032765616,-Inf,-0.222043746750825,49.3,50.7,18.8,94.2,1.4,0.3,1.7,0.1,67.7349462948899
"48","2020-02-23","MN","DEMOCRAT","5563378","0","0","0","0","0","0","0","0",0,0,-Inf,-Inf,49.8,50.2,15.4,82.8,6.4,1,4.8,0,69.8679844776269
"49","2020-02-24","MD","DEMOCRAT","6018848","0","0","0","0","0","0","0","0",0,0,-Inf,-Inf,48.5,51.5,15,55.5,29.9,0.3,6.3,0.1,620.052333367673
"50","2020-04-01","KY","REPUBLICAN","4449052","0","1","1","1","1","0","1","0",0.0449533968135234,2.00042615820179,-3.10212895220948,0.693360236962714,49.2,50.8,16,87,8.1,0.2,1.5,0.1,112.674162994479
"51","2020-04-08","NH","DEMOCRAT","1348124","0","1","0","0","1","0","1","1",0.370885764217535,3.04126326658379,-0.991861176949976,1.11227297732023,49.5,50.5,17.5,92.9,1.6,0.2,2.7,0,150.577906846867
"52","2020-09-12","NJ","DEMOCRAT","8878503","0","0","1","1","0","0","1","1",0.0450526400678132,5.36126416806977,-3.09992369358577,1.67919979952576,48.8,51.2,15.9,67.8,13.5,0.2,9.5,0,1207.30255643187
"53","2020-10-10","AL","REPUBLICAN","4876250","0","0","0","0","0","0","1","1",0.225583183799026,21.7585234555242,-1.4890663020344,3.08000556378121,48.4,51.6,16.5,68.1,26.6,0.5,1.4,0,96.2829499457005
"54","2020-07-30","WI","DEMOCRAT","5790716","0","0","0","0","0","0","1","0",0.138152173237299,18.8405026252367,-1.97939949673898,2.93600894741425,49.7,50.3,16.5,85.4,6.4,0.9,2.8,0,106.92263377525
"55","2020-02-05","NV","DEMOCRAT","2972382","0","0","0","0","0","0","0","0",0,0,-Inf,-Inf,50.2,49.8,15.4,65.6,9.1,1.3,8.2,0.7,27.0755595230504
"56","2020-04-28","DE","DEMOCRAT","957248","1","1","1","1","1","1","1","0",0.731262953800896,8.35729090058167,-0.312982165993457,2.12313431962511,48.4,51.6,18.2,68.8,22.2,0.4,3.9,0.1,491.148281169831
